Scores,Indicators
51.13,B.3.5 Environmental biodiversity
52,B.3.5 Environmental biodiversity
54.6,B.3.5 Environmental biodiversity
63.8,B.3.5 Environmental biodiversity
56.93,B.3.5 Environmental biodiversity
59.23,B.3.5 Environmental biodiversity
63,B.3.5 Environmental biodiversity
53.63,B.3.5 Environmental biodiversity
40.29,B.3.5 Environmental biodiversity
47.17,B.3.5 Environmental biodiversity
45.63,B.3.5 Environmental biodiversity
59.97,B.3.5 Environmental biodiversity
63.6,B.3.5 Environmental biodiversity
59.4,B.3.5 Environmental biodiversity
49.6,B.3.5 Environmental biodiversity
59.2,B.3.5 Environmental biodiversity
53.5,B.3.5 Environmental biodiversity
57,B.3.5 Environmental biodiversity
58.2,B.3.5 Environmental biodiversity
69.43,B.3.5 Environmental biodiversity
59.47,B.3.5 Environmental biodiversity
68.3,B.3.5 Environmental biodiversity
46.63,B.3.5 Environmental biodiversity
56.93,B.3.5 Environmental biodiversity
58.1,B.3.5 Environmental biodiversity
78.31,B.3.5 Environmental biodiversity
51.13,B.3.5 Environmental biodiversity
47.4,B.3.5 Environmental biodiversity
55.4,B.3.5 Environmental biodiversity
59.3,B.3.5 Environmental biodiversity
48.23,B.3.5 Environmental biodiversity
55.67,B.3.5 Environmental biodiversity
62.5,B.3.5 Environmental biodiversity
52.63,B.3.5 Environmental biodiversity
43.6,B.3.5 Environmental biodiversity
47.6,B.3.5 Environmental biodiversity
38.4,B.3.5 Environmental biodiversity
75.4,B.3.5 Environmental biodiversity
67.77,B.3.5 Environmental biodiversity
