code,iso,country,region,total,CDI,B.1.1.1,B.1.1.2,B.1.1.3,B.1.1.4,B.1.2.1,B.1.2.2,B.1.2.3,B.1.2.4,B.1.2.5,B.1.3.1,B.1.3.2,B.1.3.3,B.1.3.4,B.1.3.5,B.1.4.1,B.1.4.2,B.1.4.3,B.1.5.1,B.1.5.2,B.1.5.3,B.1.5.4,B.1.6.1,B.1.6.2,B.1.6.3,B.2.1.1,B.2.1.2,B.2.2.1,B.2.2.2,B.2.3.1,B.2.3.2,B.2.3.3,B.2.3.4,B.2.4.1,B.2.4.2,B.2.4.3,B.2.4.4,B.2.4.5,B.2.4.6,B.3.1.1,B.3.1.2,B.3.1.3,B.3.1.4,B.3.1.5,B.3.2.1,B.3.2.2,B.3.2.3,B.3.2.4,B.3.2.5,B.3.3.1,B.3.3.2,B.3.3.3,B.3.4.1,B.3.4.2,B.3.4.3,B.3.4.4,B.3.4.5,B.3.4.6,B.3.4.7,B.3.5.1,B.3.5.2,B.3.5.3,B.1.1,B.1.2,B.1.3,B.1.4,B.1.5,B.1.6,B.2.1,B.2.2,B.2.3,B.2.4,B.3.1,B.3.2,B.3.3,B.3.4,B.3.5,B.1,B.2,B.3,B
,,,East Asia and Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,最大值,63.78,67.92,90.91,100.00,98.69,100.00,70.38,100.00,100.00,100.00,99.95,77.93,87.34,100.00,83.56,88.41,99.95,100.00,100.00,100.00,96.93,100.00,100.00,92.99,100.00,98.67,99.45,98.61,100.00,35.30,100.00,100.00,100.00,99.76,99.59,94.51,97.40,93.90,100.00,97.50,100.00,89.94,100.00,100.00,79.00,100.00,42.90,100.00,100.00,100.00,57.16,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.66,98.48,56.50,99.40,78.30,96.81,90.85,66.99,74.99,75.70,97.22,98.20,59.30,88.24,57.73,68.88,81.43,65.55,78.63,67.03,70.30,65.82,61.88,62.72
,,,最小值,36.77,34.21,21.32,13.95,21.25,21.23,0.00,46.07,8.10,0.00,35.00,38.67,0.00,0.00,0.00,14.84,15.67,6.00,19.51,9.37,11.45,7.54,0.00,7.68,0.00,27.22,2.30,71.40,40.13,0.70,6.12,0.00,4.47,0.00,0.91,2.02,2.85,1.36,5.48,1.56,42.84,0.78,12.29,0.00,0.00,17.47,12.70,11.30,28.30,0.00,0.00,0.00,12.76,0.00,4.80,9.50,2.40,0.00,2.01,6.62,5.00,0.00,45.10,20.91,34.68,29.54,19.04,33.11,19.45,44.73,28.50,9.56,20.43,38.06,34.34,35.74,11.70,23.90,42.02,40.08,40.80,43.87
,,,四分之一位数,42.83,42.09,31.20,27.93,35.23,29.19,7.85,63.73,49.45,58.79,81.11,46.31,25.65,31.76,24.73,35.21,49.96,38.62,39.68,49.37,15.55,24.85,69.85,20.57,22.60,48.25,77.85,85.83,58.26,5.49,15.30,11.91,22.05,26.72,10.21,7.52,8.93,6.63,71.35,15.62,75.91,6.83,42.76,42.51,13.90,43.69,18.70,39.20,41.10,35.11,6.85,71.63,58.41,20.40,16.00,47.40,40.55,0.15,9.63,48.39,15.30,44.70,49.95,30.29,54.70,40.14,34.75,52.01,31.53,80.12,32.82,24.83,33.11,48.99,43.00,54.42,23.29,41.40,48.32,50.39,45.48,48.54
,,,四分之三位数,55.68,57.58,68.27,70.98,74.91,70.34,35.54,86.91,88.71,100.00,95.83,66.63,56.77,67.94,45.67,73.55,80.39,72.51,76.29,91.32,79.28,64.09,94.04,73.64,82.46,72.84,92.89,95.45,71.38,17.14,72.65,52.08,75.66,81.71,28.38,53.24,30.96,23.59,90.43,89.73,93.16,74.86,73.67,84.37,68.90,64.99,34.20,59.25,70.45,99.16,24.09,99.85,80.78,48.79,86.70,96.20,66.50,43.85,79.87,51.54,26.65,87.05,62.50,70.53,77.03,54.81,58.17,66.04,73.99,90.09,42.28,59.34,47.66,61.77,56.48,60.85,52.12,56.27,60.51,56.51,52.21,55.64
,,,中位数,48.64,49.77,55.31,43.69,49.82,43.30,20.11,74.61,74.23,99.59,90.77,58.71,49.14,53.22,33.26,54.50,70.57,61.42,53.85,73.76,38.45,33.03,86.08,49.27,63.75,60.75,83.01,88.45,60.64,10.70,39.75,41.75,47.52,62.01,15.43,12.29,15.54,11.36,77.64,78.95,84.39,15.48,54.08,61.28,37.70,45.88,24.90,51.00,53.00,67.82,15.61,89.27,68.22,32.99,24.90,75.20,49.40,3.30,26.09,49.85,21.80,72.20,57.10,46.28,67.78,50.65,41.49,57.89,53.93,86.50,35.93,49.79,36.97,52.67,46.97,60.20,30.06,49.60,52.58,55.58,48.43,51.83
,,,均值,48.99,49.91,53.38,49.86,54.83,52.05,26.11,74.94,69.96,74.66,83.81,57.84,43.62,52.24,34.84,52.66,64.70,56.62,57.69,67.28,46.53,41.61,77.09,48.28,53.76,59.96,77.03,88.50,65.70,11.72,45.16,35.19,49.81,54.49,31.02,30.58,29.65,21.89,67.74,53.28,81.61,35.29,56.33,57.16,40.38,53.50,26.84,51.60,56.80,61.77,18.39,81.28,68.94,34.79,46.24,68.66,51.15,24.37,40.96,52.06,22.51,65.08,57.93,52.53,65.90,48.24,44.75,58.13,54.00,82.77,38.71,46.16,39.03,54.15,50.10,56.20,38.02,48.51,54.58,54.13,49.48,52.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code,iso,country,region,total,CDI,B.1.1.1,B.1.1.2,B.1.1.3,B.1.1.4,B.1.2.1,B.1.2.2,B.1.2.3,B.1.2.4,B.1.2.5,B.1.3.1,B.1.3.2,B.1.3.3,B.1.3.4,B.1.3.5,B.1.4.1,B.1.4.2,B.1.4.3,B.1.5.1,B.1.5.2,B.1.5.3,B.1.5.4,B.1.6.1,B.1.6.2,B.1.6.3,B.2.1.1,B.2.1.2,B.2.2.1,B.2.2.2,B.2.3.1,B.2.3.2,B.2.3.3,B.2.3.4,B.2.4.1,B.2.4.2,B.2.4.3,B.2.4.4,B.2.4.5,B.2.4.6,B.3.1.1,B.3.1.2,B.3.1.3,B.3.1.4,B.3.1.5,B.3.2.1,B.3.2.2,B.3.2.3,B.3.2.4,B.3.2.5,B.3.3.1,B.3.3.2,B.3.3.3,B.3.4.1,B.3.4.2,B.3.4.3,B.3.4.4,B.3.4.5,B.3.4.6,B.3.4.7,B.3.5.1,B.3.5.2,B.3.5.3,B.1.1,B.1.2,B.1.3,B.1.4,B.1.5,B.1.6,B.2.1,B.2.2,B.2.3,B.2.4,B.3.1,B.3.2,B.3.3,B.3.4,B.3.5,B.1,B.2,B.3,B
