Scores,Indicators
50.33,Animal Health and Ecosystem diversity
55.9,Animal Health and Ecosystem diversity
55.94,Animal Health and Ecosystem diversity
43.11,Animal Health and Ecosystem diversity
41.11,Animal Health and Ecosystem diversity
62,Animal Health and Ecosystem diversity
62.38,Animal Health and Ecosystem diversity
56.98,Animal Health and Ecosystem diversity
49.36,Animal Health and Ecosystem diversity
55.12,Animal Health and Ecosystem diversity
59.54,Animal Health and Ecosystem diversity
56.34,Animal Health and Ecosystem diversity
56.17,Animal Health and Ecosystem diversity
56.45,Animal Health and Ecosystem diversity
54.79,Animal Health and Ecosystem diversity
51.15,Animal Health and Ecosystem diversity
52.94,Animal Health and Ecosystem diversity
49.85,Animal Health and Ecosystem diversity
54.8,Animal Health and Ecosystem diversity
56.1,Animal Health and Ecosystem diversity
57.05,Animal Health and Ecosystem diversity
43.15,Animal Health and Ecosystem diversity
57.72,Animal Health and Ecosystem diversity
65.82,Animal Health and Ecosystem diversity
63.14,Animal Health and Ecosystem diversity
63.58,Animal Health and Ecosystem diversity
56.58,Animal Health and Ecosystem diversity
55.58,Animal Health and Ecosystem diversity
52.95,Animal Health and Ecosystem diversity
56.89,Animal Health and Ecosystem diversity
45.89,Animal Health and Ecosystem diversity
61.58,Animal Health and Ecosystem diversity
60.25,Animal Health and Ecosystem diversity
56.51,Animal Health and Ecosystem diversity
51.37,Animal Health and Ecosystem diversity
56.48,Animal Health and Ecosystem diversity
40.08,Animal Health and Ecosystem diversity
49.74,Animal Health and Ecosystem diversity
41.07,Animal Health and Ecosystem diversity
55.84,Animal Health and Ecosystem diversity
53.18,Animal Health and Ecosystem diversity
56.05,Animal Health and Ecosystem diversity
51.25,Animal Health and Ecosystem diversity
57.57,Animal Health and Ecosystem diversity
56.2,Animal Health and Ecosystem diversity
61.11,Animal Health and Ecosystem diversity
62.67,Animal Health and Ecosystem diversity
50.83,Animal Health and Ecosystem diversity
63.44,Animal Health and Ecosystem diversity
50.78,Animal Health and Ecosystem diversity
46.79,Animal Health and Ecosystem diversity
52.91,Animal Health and Ecosystem diversity
48.97,Environmental Health
50.85,Environmental Health
53.74,Environmental Health
50.87,Environmental Health
50.33,Environmental Health
61.58,Environmental Health
61.75,Environmental Health
52.17,Environmental Health
47.85,Environmental Health
43.5,Environmental Health
52.26,Environmental Health
54.12,Environmental Health
58.3,Environmental Health
48.41,Environmental Health
41.88,Environmental Health
52.88,Environmental Health
50.32,Environmental Health
49.24,Environmental Health
53.05,Environmental Health
52.35,Environmental Health
50.39,Environmental Health
41.6,Environmental Health
44.84,Environmental Health
52.21,Environmental Health
42.83,Environmental Health
48.29,Environmental Health
62.51,Environmental Health
47.76,Environmental Health
40.9,Environmental Health
54.55,Environmental Health
45.79,Environmental Health
56.99,Environmental Health
51.87,Environmental Health
40.61,Environmental Health
55.64,Environmental Health
51.05,Environmental Health
51.45,Environmental Health
55.95,Environmental Health
44.39,Environmental Health
59.45,Environmental Health
46.72,Environmental Health
49.55,Environmental Health
55.21,Environmental Health
55.8,Environmental Health
44.12,Environmental Health
52.52,Environmental Health
57.95,Environmental Health
62.24,Environmental Health
55.96,Environmental Health
49.8,Environmental Health
59.67,Environmental Health
45.31,Environmental Health
57.04,Environmental Health
41.04,Environmental Health
48.41,Environmental Health
51.04,Environmental Health
63.89,Environmental Health
43.52,Environmental Health
46.98,Environmental Health
56.52,Environmental Health
51.85,Environmental Health
59.79,Environmental Health
53.71,Environmental Health
57.68,Environmental Health
56.14,Environmental Health
56.22,Environmental Health
46.66,Environmental Health
46.49,Environmental Health
48.46,Environmental Health
40.8,Environmental Health
55.1,Environmental Health
54.44,Environmental Health
47.7,Environmental Health
45.41,Environmental Health
51.95,Environmental Health
53.91,Environmental Health
63.54,Environmental Health
41.37,Environmental Health
50.21,Environmental Health
44.64,Environmental Health
48.94,Environmental Health
54.38,Environmental Health
44.24,Environmental Health
53.58,Environmental Health
49.4,Environmental Health
51.08,Environmental Health
46.88,Environmental Health
49.24,Environmental Health
52.75,Environmental Health
49.32,Environmental Health
45.16,Environmental Health
51.87,Environmental Health
55.89,Environmental Health
55.96,Environmental Health
61.88,Environmental Health
48.53,Environmental Health
49.47,Environmental Health
46.78,Environmental Health
49.87,Environmental Health
61.76,Environmental Health
50.89,Environmental Health
47.45,Environmental Health
46.48,Environmental Health
48.78,Environmental Health
53.11,Environmental Health
51.53,Environmental Health
51.58,Environmental Health
55.43,Environmental Health
45.93,Environmental Health
53.64,Environmental Health
55.86,Environmental Health
46.52,Environmental Health
53.11,Environmental Health
48.42,Environmental Health
48.38,Environmental Health
52.91,Environmental Health
40.53,Environmental Health
52.06,Environmental Health
58.03,Environmental Health
59.05,Environmental Health
48.5,Environmental Health
51.53,Environmental Health
58.3,Environmental Health
51.44,Environmental Health
47.52,Environmental Health
58.98,Environmental Health
64.64,Environmental Health
49.36,Environmental Health
47.8,Environmental Health
48.43,Environmental Health
50.48,Environmental Health
44.88,Environmental Health
55.7,Environmental Health
53.03,Environmental Health
53.37,Environmental Health
53.03,Environmental Health
48.06,Environmental Health
51.01,Environmental Health
52.53,Environmental Health
61.96,Environmental Health
57.87,Environmental Health
50.48,Environmental Health
43.6,Environmental Health
42.08,Environmental Health
44.23,Environmental Health
43.14,Environmental Health
