Scores,Indicators
35.44,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
42.53,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
32.25,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
45.64,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
34.74,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
32.95,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
33.92,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
32.88,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
31.33,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
33.05,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
38.01,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
40.02,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
36.42,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
36.74,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
19.79,B.2.3 Animal Nutritional Status
25.12,B.2.3 Animal Nutritional Status
22.85,B.2.3 Animal Nutritional Status
77.77,B.2.3 Animal Nutritional Status
38.05,B.2.3 Animal Nutritional Status
71.2,B.2.3 Animal Nutritional Status
74.92,B.2.3 Animal Nutritional Status
30.57,B.2.3 Animal Nutritional Status
47.75,B.2.3 Animal Nutritional Status
3.91,B.2.3 Animal Nutritional Status
54.54,B.2.3 Animal Nutritional Status
54.77,B.2.3 Animal Nutritional Status
74.36,B.2.3 Animal Nutritional Status
46.61,B.2.3 Animal Nutritional Status
9.95,B.2.3 Animal Nutritional Status
19.97,B.2.3 Animal Nutritional Status
48.08,B.2.3 Animal Nutritional Status
28.82,B.2.3 Animal Nutritional Status
71.56,B.2.3 Animal Nutritional Status
39.72,B.2.3 Animal Nutritional Status
42.31,B.2.3 Animal Nutritional Status
1.81,B.2.3 Animal Nutritional Status
28.58,B.2.3 Animal Nutritional Status
31.43,B.2.3 Animal Nutritional Status
