"code","iso","country","SW01","SW02","SW03","SW04","SW05","SW06","SW07","SW08","SW09","SW10","SW11","SW12","SWG","MSW.raw.2017"
634,"QAT","Qatar",0,0,0,29629.30447,22221.97836,0,688881.329,0,0,0,0,260257.4042,1000990.016,0.602359999992248
178,"COG","Republic of Congo",0,0,0,0,0,0,0,0,0,0,0,451200,451200,0
642,"ROU","Romania",0,328650.3,0,104410.35,249791.85,0,3170197.8,0,0,552449.7,0,489500,4895000,0.657612
643,"RUS","Russia",0,0,0,0,1917000,0,0,40470000,0,213000,0,17400000,6e+07,0.03195
646,"RWA","Rwanda",0,0,0,0,0,0,0,0,0,3025628.61,0,1359340.39,4384969,0
652,"BLM","Saint Barthelemy",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,0,-8888,-8888,-8888,-8888
659,"KNA","Saint Kitts and Nevis",0,0,0,0,0,32234.2972,0,0,0,0,0,657.8428,32892.14,0.784
662,"LCA","Saint Lucia",0,77.616228,0,0,0,75132.5087,0,0,2018.021928,388.08114,0,0,77616.228,0.775399999958772
670,"VCT","Saint Vincent and the Grenadines",0,25.84874504,0,0,0,0,28694.97907,0,1033.949801,0,0,2840.521433,31561.34925,0.728163799937672
882,"WSM","Samoa",0,0,0,0,8384.12154,7219.660215,0,0,0,7685.444745,0,4109.8635,27399.09,0.5168
674,"SMR","San Marino",0,0,0,0,5338.663405,0,0,0,0,6511.865795,0,5324.1508,17174.68,0.31084500002329
678,"STP","Sao Tome and Principe",0,0,0,0,0,0,0,0,0,17654.685,0,7931.815,25586.5,0
682,"SAU","Saudi Arabia",0,0,0,0,1789952.765,10143065.67,0,0,0,0,0,4192682.152,16125700.58,0.614200000295429
686,"SEN","Senegal",0,0,0,0,0,26282.97457,0,225724.3698,24221.5648,239123.5333,0,1938706.808,2454059.25,0.00856800000081498
688,"SRB","Serbia",0,0,0,0,10441.8528,0,1015470.185,0,0,348015.9624,0,466072,1840000,0.447183696086957
690,"SYC","Seychelles",0,0,0,0,0,0,0,0,0,45600,0,2400,48000,0
694,"SLE","Sierra Leone",0,0,0,0,0,0,0,0,0,268497.7196,0,341724.3704,610222.09,0
702,"SGP","Singapore",0,0,0,2850591,4699623,0,154086,0,0,0,0,0,7704300,0.996
534,"SXM","Sint Maarten",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,0,-8888,-8888,-8888,-8888
703,"SVK","Slovakia",0,130053.6,0,191066.4,135940.8,0,1225964.8,0,0,100974.4,0,0,1784000,0.80596
705,"SVN","Slovenia",0,66649.10928,0,148244.303,403544.281,0,197079.7651,0,0,53440.9416,0,57041.6,926000,0.838122575982721
90,"SLB","Solomon Islands",0,0,0,0,0,0,0,0,0,29065.47225,123910.6975,26995.79466,179971.9644,0
706,"SOM","Somalia",0,0,0,0,0,0,0,0,0,1605008.4273,0,721090.7427,2326099.17,0
710,"ZAF","South Africa",0,0,0,0,4651222.464,11960286.34,0,0,0,0,0,1845723.2,18457232,0.770400000173374
410,"KOR","South Korea",0,182007.5603,0,4550189.006,10556438.49,0,2912120.964,0,0,0,0,18218.975,18218975,0.967031999742027
728,"SSD","South Sudan",0,0,0,0,0,0,0,0,0,0,0,2680681,2680681,0
724,"ESP","Spain",0,3314839.5,0,2341546.2,3393428.4,0,11101185.9,0,0,0,0,0,20151000,0.88982
144,"LKA","Sri Lanka",0,32895.625,0,0,84147.00875,0,0,559225.625,0,0,0,1973737.5,2631650,0.044475
275,"PSE","State of Palestine",0,5894.75,0,0,5894.75,389053.5,0,789896.5,0,0,0,208050,1387000,0.2329
729,"SDN","Sudan",0,0,0,0,0,0,1903760.068,0,417898.5516,0,0,509632.38,2831291,0.537919999886977
740,"SUR","Suriname",0,0,0,0,0,0,0,39624.37877,0,23271.46055,0,15723.95983,78619.79915,0
752,"SWE","Sweden",0,684125.1,0,2241024,1416834.9,0,35016,0,0,0,0,0,4377000,0.9984
756,"CHE","Switzerland",0,1259042.4,0,2817856.8,1918540.8,0,0,0,0,0,0,60560,6056000,0.99
760,"SYR","Syria",0,54000,0,0,90000,0,720000,2880000,0,0,0,9e+05,4500000,0.16
158,"TWN","Taiwan",0,0,0,0,0,0,0,0,0,0,0,7336000,7336000,0
762,"TJK","Tajikistan",0,0,0,0,0,0,0,1322676,0,0,0,464724,1787400,0
834,"TZA","Tanzania",0,0,0,0,0,0,0,3072540.744,1006368.418,378501.396,0,4824037.4,9276995,0
764,"THA","Thailand",0,0,0,85930.7712,4103194.325,0,5800327.056,11493240.65,0,0,0,5370673.2,26853366,0.328800000007448
626,"TLS","Timor-Leste",0,0,0,0,0,0,0,0,0,37686.25,0,26188.75,63875,0
768,"TGO","Togo",0,5389.887987,0,0,5988.76443,0,0,288059.5691,0,0,0,809592.2285,1109030.45,0.01026
776,"TON","Tonga",0,0,0,0,0,0,5860.988595,0,0,8791.482893,0,2585.730263,17238.20175,0.272
780,"TTO","Trinidad and Tobago",0,5822.992,0,0,0,87344.88,0,611414.16,0,23291.968,0,0,727874,0.104
788,"TUN","Tunisia",0,82350,0,0,65880,0,1152900,345870,0,0,0,1053000,2700000,0.3965
792,"TUR","Turkey",0,275665.796,14885952.98,0,0,0,0,12129295.02,0,275665.796,0,3716420.4,31283000,0.484659999872135
795,"TKM","Turkmenistan",0,0,0,0,0,0,370000,0,0,0,0,130000,5e+05,0.592
796,"TCA","Turks and Caicos Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,0,-8888,-8888,-8888,-8888
798,"TUV","Tuvalu",0,0,0,0,508.6595288,0,0,491.7042111,0,2390.699785,0,598.422975,3989.4865,0.127500000012533
800,"UGA","Uganda",0,0,184932.5582,0,158513.6213,0,0,2298447.509,0,0,0,4403156.148,7045049.836,0.0487499999992903
804,"UKR","Ukraine",0,0,0,374496.5543,438970.32,0,12904355.63,0,0,0,0,1524202.5,15242025,0.730674000226348
784,"ARE","United Arab Emirates",0,360535.997,0,0,801191.1044,0,360535.997,2483692.424,0,0,0,1407497.886,5413453.408,0.267880000012
826,"GBR","United Kingdom",0,5123324.1,0,9905724.6,8602007.5,0,7124040.56,0,0,811903.24,0,0,31567000,0.929144
840,"USA","United States of America",0,0,0,17832960,48204720,0,73282320,0,0,0,0,118680000,2.58e+08,0.483192
858,"URY","Uruguay",0,0,95266.54685,0,72584.0357,559804.3753,0,158777.5781,0,20867.91026,0,352839.0624,1260139.509,0.488591999848169
860,"UZB","Uzbekistan",0,0,0,0,0,0,0,1776000,0,1184000,0,1040000,4e+06,0
548,"VUT","Vanuatu",0,0,0,0,22085.91629,0,0,6745.158218,0,30860.59114,0,10533.82335,70225.489,0.31449999999288
862,"VEN","Venezuela",0,0,0,0,0,0,0,0,0,4889546.57,0,4889546.57,9779093.14,0
704,"VNM","Viet Nam",0,861327,0,0,1320701.4,0,0,0,0,3560151.6,0,3828120,9570300,0.228
876,"WLF","Wallis and Futuna Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,0,-8888,-8888,-8888,-8888
732,"ESH","Western Sahara",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,0,-8888,-8888,-8888,-8888
887,"YEM","Yemen",0,0,0,0,286339.744,429509.616,0,894811.7,0,1682245.996,286339.744,1257573.2,4836820,0.13024
894,"ZMB","Zambia",0,0,0,0,0,0,0,0,0,521653.6,0,2086614.4,2608268,0
716,"ZWE","Zimbabwe",0,0,0,0,160052.6208,0,0,0,0,840276.2592,0,449423.12,1449752,0.1104
