iso,code,country,B.3.1.1,B.3.1.2,B.3.1.3,B.3.1.4,B.3.1.5,B.3.2.1,B.3.2.2,B.3.2.3,B.3.2.4,B.3.2.5,B.3.1.1...13,B.3.3.2,B.3.3.3,B.3.4.1,B.3.4.2,B.3.4.3,B.3.4.4,B.3.4.5,B.3.4.6,B.3.4.7,B.3.5.1,B.3.5.2,B.3.5.3
BRN,96,Brunei Darussalam,5.903065468,1.1,28.1,118,0,0.381050512,34.4,NA,NA,0,5.903065468,99.9000346,20024.45339,141.8,75.8,9.5,74,6,16.202,NA,12.7,NA,58.8
BTN,64,Bhutan,37.9265032,36.6,57.3,118,61.1,NA,56.4,88.1,100,0.021482058,37.9265032,97.28612149,104618.9256,35.9756383,18.6,31.7,4.7,0,83.519,NA,50.7,96.6,52.3
BWA,72,Botswana,23.09438618,39.2,41.6,99.83,30.5,NA,68.9,49.5,34,0.077042446,23.09438618,92.08256589,1088.39786,89.57241911,20.8,95.8,44.2,1,66.858,NA,70.7,96,72.5
CAF,140,Central African Republic,56.82849738,99.8,53.4,67.5,44.7,NA,48.6,95.9,42.7,0,56.82849738,38.2122672,30678.69765,0.186766667,2.8,55.7,47.9,0,98.785,NA,34.1,98.5,65.5
CAN,124,Canada,6.428383133,0.1,37.4,65.67,2.7,1.738276447,26.7,60.2,61.7,0.041052395,6.428383133,99.22164984,77985.41509,111.8205082,100,100,100,67.4,14.107,NA,28.8,81.2,82.4
CHE,756,Switzerland,10.3031001,0.1,48.3,85.5,41.5,0,46.1,65.6,31.6,0,10.3031001,100,4780.024231,187.792803,100,100,100,96.7,0.382,0.918,69.6,85.8,52.9
CHL,152,Chile,21.03629906,6.1,35,33,39.2,0.505208634,25.2,55.7,41.9,0.986111965,21.03629906,99.99999614,47914.41025,307.604427,59.5,50.5,18.7,71.9,58.227,1.188,31.9,88.3,68.4
CHN,156,China,52.66459583,36.1,48.9,42.83,27.7,1.165879632,32.6,56.1,43.7,0.146426117,52.66459583,93.81326727,2029.003278,393.2154566,33,75.8,41.5,9.4,69.811,NA,20.2,72.2,57.6
CIV,384,Cote d'Ivoire,25.88626634,NA,NA,111.67,91.7,0.160747994,11.8,46.3,55.2,0.019591247,25.88626634,70.9427311,3144.351043,30.87347429,10.6,40.4,23.3,0.6,95.957,NA,45.1,32.3,49.6
CMR,120,Cameroon,72.79309622,72.5,49.7,67.33,80.7,0.036655692,30.3,47.8,35.8,0,72.79309622,65.38663281,11112.88863,12.9503129,14.7,39.1,40.4,0,96.416,NA,27.4,85.3,63.1
COD,180,Dem. Rep. Congo,44.9092636,93,47.4,58.67,100,0.021736792,25.2,49.2,51.5,2.347988138,44.9092636,45.29617589,11056.67881,1.270824576,9.8,45.4,50.2,0,NA,NA,27.7,78,74
COG,178,Republic of Congo,46.63822028,NA,NA,NA,68.8,0.012044516,36.2,28.3,36.2,0,46.63822028,73.59587316,43438.26806,2.350327273,18.7,0,0,0.3,83.691,NA,27.6,93.3,73.3
COK,184,Cook Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.97161022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,170,Colombia,16.52721022,9.4,31.1,36.33,57.2,0.584928396,33.3,62,66.6,0.054473366,16.52721022,97.31682988,43856.20204,182.4362415,46,58.5,46.4,25.6,73.807,NA,52.2,68.9,56.4
COM,174,Comoros,20.5468246,78.7,31.9,25.33,100,0.805796199,32.1,100,NA,0,20.5468246,80.21049781,1474.400718,NA,11.5,47.4,41.6,0.1,NA,NA,14.1,NA,35.6
CPV,132,Cabo Verde,34.7787001,19.1,39.2,NA,77.3,3.551398449,NA,87.4,100,0,34.7787001,NA,558.1405733,NA,30.3,44.7,25.6,20.9,79.725,NA,2.1,NA,45.2
CRI,188,Costa Rica,15.7259203,6.1,34,118,63.3,0.585764913,34.3,58.3,33.9,0,15.7259203,99.79752731,22828.49036,641.8411485,54,55.1,12.1,9.7,57.863,NA,56.2,72.8,43.4
CUB,192,Cuba,19.7060474,1.7,34.5,NA,48.4,8.486184035,21.3,65.5,55.2,NA,19.7060474,96.77613323,3361.772885,38.63482431,63.1,62.5,89.6,3.6,NA,NA,33.5,95.7,50.1
CUW,531,Curacao,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
