code,iso,country,source,variable,construct,y1970,y1980,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
795,TKM,Turkmenistan,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,
800,UGA,Uganda,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,
804,UKR,Ukraine,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.651,,,,,,
784,ARE,United Arab Emirates,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,,,0.783,,,,,,,,,,
826,GBR,United Kingdom,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,0.98,1,1,1,1,1,,,0.97,0.97,0.995,,,,,,,
840,USA,United States of America,UNSD,Population connected to wastewater treatment,CXN,,,,,,0.7,,,,0.718,,,,0.754,,0.754,,0.749,,,,0.737,,,,0.755,,,,,
858,URY,Uruguay,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,
860,UZB,Uzbekistan,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,
862,VEN,Venezuela,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,0.202,0.206,0.209,0.211,0.213,0.217,0.219,0.22,0.223,0.238,,,,,,,,
704,VNM,Viet Nam,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,
887,YEM,Yemen,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,0.033,,,,,,,,,,,,,,,,,,
894,ZMB,Zambia,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,
716,ZWE,Zimbabwe,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,
4,AFG,Afghanistan,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
8,ALB,Albania,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.369,0.334,,
12,DZA,Algeria,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,
20,AND,Andorra,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,0.059,0.072,0.07,0.072,0.15,0.232,0.189,0.144,0.703,0.748,0.877,1,0.948,1,1,1,1,1,,
24,AGO,Angola,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
32,ARG,Argentina,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.118,,,,,,
51,ARM,Armenia,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,0.354,,,,,0.334,0.357,0.338,0.286,0.381,0.331,0.475,0.54,0.408,0.292,0.238,0.255,0.251,0.196,0.175,0.146,0.153,0.122,0.079,0.152,0.146,,
36,AUS,Australia,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
40,AUT,Austria,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,
31,AZE,Azerbaijan,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,
48,BHR,Bahrain,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0.992,0.987,,
50,BGD,Bangladesh,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
112,BLR,Belarus,Pinset,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,
56,BEL,Belgium,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,
204,BEN,Benin,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,
60,BMU,Bermuda,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
64,BTN,Bhutan,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
68,BOL,Bolivia,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,
70,BIH,Bosnia and Herzegovina,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,,,,,,,0.034,0.033,0.037,0.043,0.046,0.261,0.263,0.253,0.312,0.309,0.299,0.313,,
72,BWA,Botswana,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,
76,BRA,Brazil,EPI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7487,
100,BGR,Bulgaria,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,
854,BFA,Burkina Faso,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
108,BDI,Burundi,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
132,CPV,Cabo Verde,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
116,KHM,Cambodia,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
120,CMR,Cameroon,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
124,CAN,Canada,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,
140,CAF,Central African Republic,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
148,TCD,Chad,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
152,CHL,Chile,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,,,,
156,CHN,China,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.288,,,,,,
170,COL,Colombia,Pinset,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,
188,CRI,Costa Rica,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,,,,,,,,,,,0.683,0.689,0.747,0.735,0.735,0.437,0.431,0.833,,
384,CIV,Cote d'Ivoire,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,
191,HRV,Croatia,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,,,,,,,,,,,0.497,0.521,0.574,0.506,0.679,0.677,0.647,0.526,,
192,CUB,Cuba,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,
196,CYP,Cyprus,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,
203,CZE,Czech Republic,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,
180,COD,Dem. Rep. Congo,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
208,DNK,Denmark,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
262,DJI,Djibouti,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
214,DOM,Dominican Republic,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.487,,,,,,
218,ECU,Ecuador,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
818,EGY,Egypt,GWI,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,,,,,,,,,,,,,,0.567,,,,,,
222,SLV,El Salvador,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,
226,GNQ,Equatorial Guinea,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,
232,ERI,Eritrea,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
233,EST,Estonia,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,
748,SWZ,Eswatini,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,
231,ETH,Ethiopia,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
242,FJI,Fiji,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,
246,FIN,Finland,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
250,FRA,France,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,
266,GAB,Gabon,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
268,GEO,Georgia,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,0.601,0.397,0.399,0.465,0.56,0.583,,,,,,,,,,,,,,,,,
276,DEU,Germany,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,
288,GHA,Ghana,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,,,,,,,,,,,,0.339,,0,,,,
300,GRC,Greece,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,
320,GTM,Guatemala,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,
324,GIN,Guinea,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
624,GNB,Guinea-Bissau,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
328,GUY,Guyana,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,
332,HTI,Haiti,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
340,HND,Honduras,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,
344,HKG,Hong Kong,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,
348,HUN,Hungary,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,
356,IND,India,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.192,,,,,,
360,IDN,Indonesia,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,
364,IRN,Iran,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,
368,IRQ,Iraq,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,,,,,,,,0.208,0.992,0.461,0.802,0.507,0.394,0.504,0.044,0.672,0.703,0.718,,
372,IRL,Ireland,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.925,,,,,,
376,ISR,Israel,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.844,,,,,,
380,ITA,Italy,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,
388,JAM,Jamaica,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,
392,JPN,Japan,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.962,,,,,,
400,JOR,Jordan,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,
398,KAZ,Kazakhstan,Pinset,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,
404,KEN,Kenya,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,
414,KWT,Kuwait,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.431,,,,,,
418,LAO,Laos,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
428,LVA,Latvia,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.907,,,,,,
422,LBN,Lebanon,FAO,"Wastewater, treated of collected (calculated)",WST,,,,,,,,,,,,,,,0.812,,,,,,,,,,,,,,,,
426,LSO,Lesotho,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,
430,LBR,Liberia,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
434,LBY,Libya,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,
440,LTU,Lithuania,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,
442,LUX,Luxembourg,FAO,"Wastewater, treated of collected (calculated)",WST,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
450,MDG,Madagascar,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,
454,MWI,Malawi,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
458,MYS,Malaysia,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,
466,MLI,Mali,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
470,MLT,Malta,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
584,MHL,Marshall Islands,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
478,MRT,Mauritania,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
480,MUS,Mauritius,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,
484,MEX,Mexico,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,0.13,,,,,,,,0.355,,,,,0.502,,,,
498,MDA,Moldova,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,,,0.215,0.193,0.178,0.114,0.122,0.178,0.171,0.173,0.168,0.17,0.173,0.168,0.166,0.166,0.163,0.166,,
492,MCO,Monaco,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,,0.972,0.983,0.962,0.971,1,1,1,1,1,1,1,1,1,1,1,1,1,,
496,MNG,Mongolia,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,
499,MNE,Montenegro,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,,,,,,,,,,,,,,0.465,,,,,,
504,MAR,Morocco,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,
508,MOZ,Mozambique,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.22,,
104,MMR,Myanmar,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
516,NAM,Namibia,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,
524,NPL,Nepal,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
528,NLD,Netherlands,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
554,NZL,New Zealand,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,
558,NIC,Nicaragua,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
562,NER,Niger,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
566,NGA,Nigeria,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,
408,PRK,North Korea,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
578,NOR,Norway,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,
512,OMN,Oman,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,
586,PAK,Pakistan,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,
585,PLW,Palau,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
591,PAN,Panama,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,,,0.42,0.42,0.42,0.421,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,,
598,PNG,Papua New Guinea,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
600,PRY,Paraguay,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,
604,PER,Peru,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,,,,,,,,,0.281,0.291,0.346,0.346,0.327,0.327,0.344,0.475,0.619,0.761,,
608,PHL,Philippines,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,
616,POL,Poland,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.647,,,,,,
620,PRT,Portugal,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.696,,,,,,
634,QAT,Qatar,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.875,,,,,,
642,ROU,Romania,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,,,,,,,,,,,0.112,0.118,0.262,0.174,0.243,0.614,0.643,0.635,,
643,RUS,Russia,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,
646,RWA,Rwanda,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
682,SAU,Saudi Arabia,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,
686,SEN,Senegal,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,
688,SRB,Serbia,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,,,0.264,0.264,0.236,0.259,0.297,0.268,0.276,0.239,0.235,0.211,0.218,0.232,0.185,0.193,0.187,0.148,,
694,SLE,Sierra Leone,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
702,SGP,Singapore,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,1,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
703,SVK,Slovakia,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,
705,SVN,Slovenia,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,
90,SLB,Solomon Islands,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
710,ZAF,South Africa,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,
410,KOR,South Korea,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.837,,,,,,
724,ESP,Spain,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,
144,LKA,Sri Lanka,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
729,SDN,Sudan,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
740,SUR,Suriname,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,
752,SWE,Sweden,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
756,CHE,Switzerland,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,
760,SYR,Syria,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,
158,TWN,Taiwan,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.162,,,,,,
762,TJK,Tajikistan,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,
834,TZA,Tanzania,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,
764,THA,Thailand,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221,,
626,TLS,Timor-Leste,EPI,Wastewater tratement (unit),WST,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,
768,TGO,Togo,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
788,TUN,Tunisia,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,
792,TUR,Turkey,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,
795,TKM,Turkmenistan,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,
800,UGA,Uganda,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,
804,UKR,Ukraine,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.217,,,,,,
784,ARE,United Arab Emirates,UNSD,"Wastewater, proportion treated (calculated)",WST,,,,,,,,,,,,,,,,,,,,,,,,,0.945,0.965,0.987,0.973,0.981,,
826,GBR,United Kingdom,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,
840,USA,United States of America,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,
858,URY,Uruguay,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,
860,UZB,Uzbekistan,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
862,VEN,Venezuela,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,
704,VNM,Viet Nam,GWI,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,
887,YEM,Yemen,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
894,ZMB,Zambia,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,
716,ZWE,Zimbabwe,Pinset,Treatment rate,WST,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
