code,iso,country,source,variable,construct,y1970,y1980,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
384,CIV,Cote d'Ivoire,EPI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,
191,HRV,Croatia,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,0.086,0.089,0.22,,,,0.983,0.983,0.983,0.983,0.983,,
192,CUB,Cuba,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,,
196,CYP,Cyprus,UNSD,Population connected to wastewater treatment,CXN,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
203,CZE,Czech Republic,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,0.664,0.675,0.722,0.731,0.735,0.754,0.744,0.755,0.78,0.783,0.794,0.806,0.781,0.8,0.808,0.81,,
180,COD,Dem. Rep. Congo,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,
208,DNK,Denmark,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,1,1,1,,,
262,DJI,Djibouti,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,
212,DMA,Dominica,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,
214,DOM,Dominican Republic,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,
218,ECU,Ecuador,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.673,,,,,,
818,EGY,Egypt,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,
222,SLV,El Salvador,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,,,0.031,0.029,0.028,0.028,0.028,0.028,,,,,
226,GNQ,Equatorial Guinea,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,
232,ERI,Eritrea,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,
233,EST,Estonia,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,0.7,0.7,0.7,0.73,0.74,0.79,0.79,0.84,0.85,0.85,0.865,0.867,0.868,0.872,0.87,,,
231,ETH,Ethiopia,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,
242,FJI,Fiji,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,
246,FIN,Finland,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,1,1,,,,
250,FRA,France,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,0.956,,,0.958,,,,,,1,1,1,1,1,,,
258,PYF,French Polynesia,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,0.08,,,,
266,GAB,Gabon,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,
268,GEO,Georgia,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,
276,DEU,Germany,UNSD,Population connected to wastewater treatment,CXN,,,,,0.871,,,,0.886,,,,,,0.974,,,0.979,0.973,,0.999,,,1,1,1,1,,,,
288,GHA,Ghana,EPI,Connection rate,CXN,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,0.07,,,,
300,GRC,Greece,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,,,0.85,,0.873,0.873,0.881,,0.928,0.928,,,
320,GTM,Guatemala,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,
324,GIN,Guinea,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.11,0.11,,,,,,,,
624,GNB,Guinea-Bissau,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,
328,GUY,Guyana,UNSD,Population connected to wastewater treatment,CXN,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,
332,HTI,Haiti,EPI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
340,HND,Honduras,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,
344,HKG,Hong Kong,EPI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,
348,HUN,Hungary,UNSD,Population connected to wastewater treatment,CXN,,,,0.394,,0.353,0.393,0.399,0.391,0.402,0.415,0.43,0.459,0.637,0.661,0.662,0.701,0.721,0.606,0.634,0.665,0.677,0.688,0.717,0.723,0.729,0.728,0.738,0.768,,
352,ISL,Iceland,UNSD,Population connected to wastewater treatment,CXN,,,,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.14,0.22,0.39,0.39,0.56,0.56,0.56,0.96,,,1,,0.73,,,,,,,
356,IND,India,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.117,,,,,,
360,IDN,Indonesia,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,
364,IRN,Iran,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.373,,,,,,
368,IRQ,Iraq,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,0.204,0.271,,
372,IRL,Ireland,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,0.97,0.97,,,
376,ISR,Israel,UNSD,Population connected to wastewater treatment,CXN,,,,0.767,,,,,0.795,,,,,0.866,0.88,0.893,0.907,0.921,0.929,0.935,0.941,0.945,0.95,0.955,0.96,0.963,0.966,0.967,0.968,,
380,ITA,Italy,OECD,Public total treatment (connected to a wastewater treatment plant),CXN,0.14,0.3,,0.607,,,,,,,,,,,,,,,0.564,,,,,,,0.608,,,0.625,,
388,JAM,Jamaica,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,
392,JPN,Japan,UNSD,Population connected to wastewater treatment,CXN,0.16,0.3,,0.44,,,,,0.54,,,,,0.62,0.64,0.65,0.67,0.681,0.693,0.71,0.717,0.727,0.737,0.751,0.758,0.763,0.77,0.776,0.778,0.783,
